sieve,US13MeanPct,US14MeanPct
1180,0,0
600,0.000438950732169821,0.000296068214116532
425,0.000474066790743407,0.000448331867090749
300,0.017294658847491,0.0215706841713474
212,0.142825789233416,0.142171956418759
180,0.068274396881694,0.0562867970494688
150,0.101467851248376,0.0887443324084726
106,0.163640832952909,0.151696893821479
75,0.107121536678723,0.10145834743182
53,0.0888085121325982,0.0957230831697909
38,0.045089019208484,0.0540789740813426
0,0.264564385293395,0.287524531366312
